model,mode,case,batch_size,prompt_len,decode_len,e2e_ms,gpu_busy_ms,gpu_bubble_ms,gpu_bubble_ratio,unhidden_launch_api_ms,unhidden_launch_api_pct,other_host_idle_ms,other_host_idle_pct,total_kernels,total_kernel_gpu_ms,launch_count,launch_overhead_ms,launch_overhead_pct
Qwen3-0.6B,cudagraph,bs16_p16_d128,16,16,128,230.492952,187.711753,42.781199,0.18560740633839423,9.82704,4.263488282279451,32.954159,14.297252351559973,53142,188.052741,2357,63.264983,27.447686556593716
Qwen3-0.6B,cudagraph,bs16_p16_d512,16,16,512,949.427215,818.592222,130.834993,0.13780413172588485,30.951511,3.2600193580926575,99.883482,10.520393814495828,211350,820.547736,8885,242.0411,25.49338129095025
Qwen3-0.6B,cudagraph,bs1_p16_d0,1,16,0,20.013784,2.680257,17.333527,0.8660794480444078,2.562954,12.805944143296442,14.770573,73.80200066114433,801,2.653601,181,2.608451,13.033272468614632
Qwen3-0.6B,cudagraph,bs1_p16_d128,1,16,128,247.147987,164.641831,82.506156,0.33383300831821056,52.159554,21.10458378930677,30.346602,12.27871704251429,49570,165.013218,2341,87.243732,35.30019930933121
Qwen3-0.6B,cudagraph,bs1_p16_d512,1,16,512,806.768197,680.159741,126.608456,0.1569328791972696,41.45498,5.138400367559357,85.153476,10.554887552167603,197026,682.883487,8869,248.071628,30.748810987153973
Qwen3-0.6B,cudagraph,bs1_p1k_d0,1,1024,0,14.547167,6.29505,8.252117,0.5672662587842705,0.974333,6.697750840421368,7.277784,50.02887503800568,801,6.206346,209,2.098785,14.427448313475743
Qwen3-0.6B,cudagraph,bs1_p256_d0,1,256,0,15.707779,3.57493,12.132849,0.7724102178926759,1.791749,11.40676221635153,10.3411,65.83425957291607,801,3.507154,209,2.018454,12.850028002049177
Qwen3-0.6B,cudagraph,bs1_p4k_d0,1,4096,0,25.848516,19.001821,6.846695,0.2648776819528053,0.239513,0.9266025175294396,6.607182,25.561165677751095,773,18.758847,181,2.14769,8.308755520046104
Qwen3-0.6B,cudagraph,bs1_p8k_d0,1,8192,0,53.983832,44.899902,9.08393,0.16827130760187606,0.342616,0.634664097205993,8.741314,16.192466662981612,773,44.399966,181,3.251436,6.022981102934671
Qwen3-0.6B,cudagraph,bs1_p8k_d512,1,8192,512,995.337933,885.783304,109.554629,0.1100677723291392,24.862454,2.4978907339604026,84.692175,8.508886498953515,196998,887.55803,8869,245.662685,24.681334535252763
Qwen3-0.6B,cudagraph,bs4_p16_d128,4,16,128,212.640435,175.110191,37.530244,0.17649627174624619,9.476895,4.456769945941843,28.053349,13.192857228682776,53154,176.406251,2341,64.606422,30.382942924284368
Qwen3-0.6B,cudagraph,bs4_p16_d512,4,16,512,856.16489,730.005914,126.158976,0.14735359680540042,35.023941,4.090793889013599,91.135035,10.644565791526443,211366,732.17851,8873,250.526073,29.261428017680096
Qwen3-0.6B,cudagraph,bs8_p16_d128,8,16,128,216.465392,178.819599,37.645793,0.1739113705529427,9.67506,4.46956435419478,27.970733,12.92157270109949,53134,179.999301,2349,66.243381,30.602296463168578
Qwen3-0.6B,cudagraph,bs8_p16_d512,8,16,512,878.362981,756.752262,121.610719,0.13845155320816052,31.867533,3.628059662045343,89.743186,10.21709565877071,211342,760.962641,8877,247.698542,28.2000206472727
Qwen3-0.6B,eager,bs16_p16_d128,16,16,128,1249.704132,183.841683,1065.862449,0.8528918339208948,167.792862,13.426606962679067,898.069587,71.86257642941042,49622,182.751737,49397,176.114183,14.092470248790054
Qwen3-0.6B,eager,bs16_p16_d512,16,16,512,4899.727516,823.622405,4076.105111,0.8319044472757983,683.489197,13.949534841847317,3392.615914,69.24090988573252,206678,821.216553,206453,747.52379,15.256435945855564
Qwen3-0.6B,eager,bs1_p16_d0,1,16,0,33.089835,2.600314,30.489521,0.9214165316931922,3.647672,11.02354242624661,26.841849,81.11811074307262,758,2.57561,505,3.790781,11.456028716976075
Qwen3-0.6B,eager,bs1_p16_d128,1,16,128,1130.548167,159.631256,970.916911,0.8588018974692655,155.721352,13.77396881843779,815.195559,72.10622092848875,46050,158.548215,45797,164.198628,14.523806485460428
Qwen3-0.6B,eager,bs1_p16_d512,1,16,512,4461.669685,680.692934,3780.976751,0.8474353813576856,596.934105,13.379164015813958,3184.042646,71.3643741199546,192354,678.720401,192101,654.040827,14.659104621726385
Qwen3-0.6B,eager,bs1_p1k_d0,1,1024,0,24.211533,6.26206,17.949473,0.741360449997115,1.442455,5.957718579818965,16.507018,68.17832641989253,786,6.177996,561,2.62617,10.846772899510329
Qwen3-0.6B,eager,bs1_p256_d0,1,256,0,22.388251,3.59205,18.796201,0.8395564709364747,2.550304,11.391260532142507,16.245897,72.56438656150496,798,3.516306,573,2.907077,12.984832982263777
Qwen3-0.6B,eager,bs1_p4k_d0,1,4096,0,35.843966,18.970151,16.873815,0.47075747700463727,1.485827,4.145263947633474,15.387988,42.93048375283025,770,18.73089,545,2.96152,8.262255354220569
Qwen3-0.6B,eager,bs1_p8k_d0,1,8192,0,65.15125,45.275627,19.875623,0.3050689434201186,1.695247,2.602017612862378,18.180376,27.904876729149482,770,44.756843,545,3.422943,5.253840870282612
Qwen3-0.6B,eager,bs1_p8k_d512,1,8192,512,4677.883301,884.806935,3793.076366,0.8108531406050995,580.059212,12.400035970884517,3213.017154,68.68527808962543,195458,882.182193,195233,642.014201,13.724459540552356
Qwen3-0.6B,eager,bs4_p16_d128,4,16,128,1181.11353,172.271212,1008.842318,0.8541450862898844,162.602064,13.76684458097775,846.240254,71.6476640480107,49626,171.267278,49373,170.376837,14.425102470886097
Qwen3-0.6B,eager,bs4_p16_d512,4,16,512,4844.600811,734.952976,4109.647835,0.8482944199796114,687.052834,14.181825516769084,3422.595001,70.64761648119206,206694,733.120787,206441,748.767143,15.45570362164562
